"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Initial source lifecycle stage","hs_lead_source_lifecycle_stage","string","The lifecycle stage of the primary associated contact or company at the time of lead creation","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Time to First Touch","hs_lead_time_to_first_outreach","number","Time between lead creation and first outreach activity ","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Lead Type","hs_lead_type","enumeration","The type of lead. By default, categorize your lead as either a New Business, Existing Business, or Re-attempting","lead_information","false","[{""label"":""New business"",""value"":""NEW_BUSINESS"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Upsell"",""value"":""UPSELL"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Re-attempting"",""value"":""RE_ATTEMPTING"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is automatically set by HubSpot and may not be modified.","lead_information","false","","true","true","false","true","false","true","HubSpot",""
"Next Activity Date","hs_next_activity_date","datetime","The date of the next activity. Defaults to the date of the primary associated contact. If not present, looks to the date of the primary associated company.","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Next Activity Type","hs_next_activity_type","enumeration","The type of the next activity. Defaults to the type of the primary associated contact. If not present, looks to the type of the primary associated company.","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Lead Number of Pageviews","hs_num_webpage_views","number","Number of pageviews for the associated contact if it exists. Otherwise the number of pageviews for the associated company.","lead_information","false","","true","true","true","false","false","true","HubSpot",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is automatically set by HubSpot and may not be modified.","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source","hs_object_source_label","enumeration","How this record was created","lead_information","false","","true","true","false","true","false","true","HubSpot",""
"Lead Pipeline","hs_pipeline","enumeration","The pipeline that the lead is in","lead_information","false","","false","false","false","true","false","true","HubSpot","Automation platform flow (2)"
"Lead Pipeline Stage","hs_pipeline_stage","enumeration","","lead_information","false","","false","false","false","true","false","true","HubSpot","Automation platform flow (2)"
"Pipeline Stage Category","hs_pipeline_stage_category","string","The category assigned to the lead's current pipeline stage","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Primary Associated Object Name","hs_primary_associated_object_name","string","The primary associated contact or company name","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Primary Associated Company Object ID","hs_primary_company_id","number","The object ID of the primary associated company","lead_information","false","","true","true","false","true","false","true","HubSpot",""
"Primary contact enrolled in sequence","hs_primary_contact_enrolled_in_sequence","bool","Indicates whether the lead's primary contact is currently enrolled in a sequence","lead_information","false","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","true","true","false","false","false","true","HubSpot",""
"Primary Associated Contact Object ID","hs_primary_contact_id","number","The object ID of the primary associated contact","lead_information","false","","true","true","false","true","false","true","HubSpot",""
"Lead tags","hs_tag_ids","enumeration","List of tag ids applicable to a lead. This property is set automatically by HubSpot.","lead_information","false","","true","true","false","true","false","true","HubSpot",""
"Updated by user ID","hs_updated_by_user_id","number","The user that last updated this object. This value is automatically set by HubSpot and may not be modified.","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Owner Assigned Date","hubspot_owner_assigneddate","datetime","The most recent date an owner was assigned to this object. This is set automatically by HubSpot and can be used for segmentation and reporting.","lead_information","false","","true","true","false","false","false","true","HubSpot",""
"Lead Owner","hubspot_owner_id","enumeration","Owner of the lead. Defaults to the owner of the primary associated contact. If not present, looks to the owner of the primary associated company.","lead_information","false","","false","true","false","true","false","true","HubSpot",""
"HubSpot Team","hubspot_team_id","enumeration","The primary team of the owner.","lead_information","false","","true","true","false","true","false","true","HubSpot",""
"Cumulative time in ""Attempting (Lead pipeline)""","hs_v2_cumulative_time_in_attempting_stage_id_745667965","number","The cumulative time in seconds spent by the lead in the 'Attempting' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Connected (Lead pipeline)""","hs_v2_cumulative_time_in_connected_stage_id_2058487257","number","The cumulative time in seconds spent by the lead in the 'Connected' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""New (Lead pipeline)""","hs_v2_cumulative_time_in_new_stage_id_1318266061","number","The cumulative time in seconds spent by the lead in the 'New' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Accepted (Lead pipeline)""","hs_v2_cumulative_time_in_qualified_stage_id_233247981","number","The cumulative time in seconds spent by the lead in the 'Accepted' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Disqualified (Lead pipeline)""","hs_v2_cumulative_time_in_unqualified_stage_id_1675714327","number","The cumulative time in seconds spent by the lead in the 'Disqualified' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Attempting (Lead pipeline)""","hs_v2_date_entered_attempting_stage_id_745667965","datetime","The date and time when the lead entered the 'Attempting' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Connected (Lead pipeline)""","hs_v2_date_entered_connected_stage_id_2058487257","datetime","The date and time when the lead entered the 'Connected' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""New (Lead pipeline)""","hs_v2_date_entered_new_stage_id_1318266061","datetime","The date and time when the lead entered the 'New' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Accepted (Lead pipeline)""","hs_v2_date_entered_qualified_stage_id_233247981","datetime","The date and time when the lead entered the 'Accepted' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Disqualified (Lead pipeline)""","hs_v2_date_entered_unqualified_stage_id_1675714327","datetime","The date and time when the lead entered the 'Disqualified' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
