"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Closed Lost Reason Custom","closed_lost_reasons","enumeration","Reasons we lost the deal.","deal_entry_requirements","true","[{""label"":""Not Interested"",""value"":""Not Interested"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Non-Responsive"",""value"":""Non-Responsive"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Not Qualified (non-tech)"",""value"":""Not Qualified (non-tech)"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Pricing Concern: Can't match requested range"",""value"":""Pricing Concern: Can't match requested range"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Lost to Competitor (add who and why in notes)"",""value"":""Lost to Competitor (add who and why in notes)"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Missing Feature (add requested feature in notes)"",""value"":""Missing Feature (add requested feature in notes)"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""Didn't Want to Switch: NetSuite "",""value"":""NetSuite Client"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Didn't Want to Switch: Xero"",""value"":""Didn't Want to Switch: Xero"",""displayOrder"":7,""hidden"":false,""readOnly"":false},{""label"":""Didn't Want to Switch: Intacct"",""value"":""Didn't Want to Switch: Intacct"",""displayOrder"":8,""hidden"":false,""readOnly"":false},{""label"":""Didn't Want to Switch: Wave"",""value"":""Didn't Want to Switch: Wave"",""displayOrder"":9,""hidden"":false,""readOnly"":false},{""label"":""Didn't Want to Switch: SAP"",""value"":""Didn't Want to Switch: SAP"",""displayOrder"":10,""hidden"":false,""readOnly"":false},{""label"":""Didn't Want to Switch: Other (add to notes)"",""value"":""Didn't Want to Switch: Other (add to notes)"",""displayOrder"":11,""hidden"":false,""readOnly"":false},{""label"":""Churned During Implementation"",""value"":""Churned During Implementation"",""displayOrder"":12,""hidden"":false,""readOnly"":false},{""label"":""Churned During Repricing"",""value"":""Churned During Repricing"",""displayOrder"":13,""hidden"":false,""readOnly"":false},{""label"":""Churned Prior to Implementation Call"",""value"":""Churned Prior to Implementation Call"",""displayOrder"":14,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Unknown user","Inbounddb lists (2); Automation platform flow (2); Report (15); Sales view (3); Properties v3 card (1); Controlling pipeline stage field (1)"
"Has the Quote been sent?","has_the_quote_been_sent_","enumeration","","deal_entry_requirements","true","[{""label"":""Yes"",""value"":""Yes"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""No"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Unknown user",""
"Has the Quote been signed?","has_the_quote_been_signed_","enumeration","","deal_entry_requirements","true","[{""label"":""Yes"",""value"":""Yes"",""displayOrder"":0,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Unknown user","Automation platform flow (4); Controlling pipeline stage field (2)"
"How did they hear about Zeni?","how_did_they_hear_about_zeni_","string","","deal_entry_requirements","true","","false","false","false","false","false","false","Megan Prince",""
"Requires Sales Engineer","requires_sales_engineer","enumeration","","deal_entry_requirements","true","[{""label"":""Yes"",""value"":""Yes"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""No"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Kelvin Tanjuakio","Report (1); Controlling conditional field (1); Properties list card (1); Properties v3 card (1)"
"Sales Engineer","sales_engineer","enumeration","The Sales Engineer associated to the account. To be assigned by Head of FinOps.","deal_entry_requirements","false","","false","false","false","true","false","false","Kelvin Tanjuakio","Inbounddb lists (1); Report (28); Sales view (3); Dependent conditional field (1); Properties list card (1); Properties v3 card (1)"
"Segment & Pricing Calculated","segment___pricing_calculated","enumeration","","deal_entry_requirements","true","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Kelvin Tanjuakio","Properties v3 card (1); Controlling pipeline stage field (3)"
"Target Subscription Start Date","target_subscription_start_date","date","","deal_entry_requirements","true","","false","false","false","false","false","false","Kelvin Tanjuakio","Report (1)"
"Amount","amount","number","The total amount of the deal","dealinformation","false","","false","true","false","false","false","true","HubSpot","Calculated property (1); Rollup property (2); Automation platform flow (6); Report (337); Association card (1); Dataset (2); Sales view (29); Association table card (1); Properties v3 card (1); Association v3 card (1)"
"Amount in company currency","amount_in_home_currency","number","The amount of the deal, using the exchange rate, in your company's currency","dealinformation","false","","true","true","true","false","false","true","HubSpot","Report (15); Goal target (348)"
